series,x,value,pixel_x,pixel_y,uncertainty_value,confidence,value_status
CAN/USD,1973.0,1.00739,88,205.4004,0.00304174,0.9924,visible_trace_observed
CAN/USD,1973.08125,1.00733391,89,205.4176,0.00299772,0.9924,visible_trace_observed
CAN/USD,1973.1625,1.00724196,90,205.4458,0.00309685,0.8848,visible_trace_observed
CAN/USD,1973.24375,1.00778489,91,205.2793,0.0027088,0.979,visible_trace_observed
CAN/USD,1973.325,1.01050283,92,204.4458,0.00309685,0.8848,visible_trace_observed
CAN/USD,1973.40625,1.00691522,93,205.546,0.00307402,0.8848,visible_trace_observed
CAN/USD,1973.4875,1.00688489,94,205.5553,0.00304239,0.9185,visible_trace_observed
CAN/USD,1973.56875,1.01214076,95,203.9435,0.00251935,0.9185,visible_trace_observed
CAN/USD,1973.65,1.01525065,96,202.9898,0.00260707,0.7821,visible_trace_observed
CAN/USD,1973.73125,1.01192391,97,204.01,0.0023912,0.9966,visible_trace_observed
CAN/USD,1973.8125,1.00816576,98,205.1625,0.00267848,0.8848,visible_trace_observed
CAN/USD,1973.89375,1.00575435,99,205.902,0.0026537,0.8259,visible_trace_observed
CAN/USD,1973.975,0.99925185,100,207.8961,0.00190239,1.0,visible_trace_observed
CAN/USD,1974.05625,0.99129109,101,210.3374,0.0018137,0.9334,visible_trace_observed
CAN/USD,1974.1375,0.98270065,102,212.9718,0.0024163,0.9924,visible_trace_observed
CAN/USD,1974.21875,0.97703261,103,214.71,0.00287804,0.8661,visible_trace_observed
CAN/USD,1974.3,0.97647076,104,214.8823,0.00251543,0.9966,visible_trace_observed
CAN/USD,1974.38125,0.97799065,105,214.4162,0.00230185,0.7821,visible_trace_observed
CAN/USD,1974.4625,0.98323022,106,212.8094,0.00228946,0.9924,visible_trace_observed
CAN/USD,1974.54375,0.98972261,107,210.8184,0.00238304,0.8848,visible_trace_observed
CAN/USD,1974.625,0.99413587,108,209.465,0.00311087,0.8465,visible_trace_observed
CAN/USD,1974.70625,0.99411598,109,209.4711,0.00313141,0.8259,visible_trace_observed
CAN/USD,1974.7875,0.99549207,110,209.0491,0.00244076,0.9924,visible_trace_observed
CAN/USD,1974.86875,0.99794946,111,208.2955,0.00271826,0.9865,visible_trace_observed
CAN/USD,1974.95,1.00321804,112,206.6798,0.00218511,0.979,visible_trace_observed
CAN/USD,1975.03125,1.00744087,113,205.3848,0.00217109,0.9992,visible_trace_observed
CAN/USD,1975.1125,1.01177717,114,204.055,0.00245315,0.9865,visible_trace_observed
CAN/USD,1975.19375,1.02336533,115,200.5013,0.00172304,0.9924,visible_trace_observed
CAN/USD,1975.275,1.02779587,116,199.1426,0.00195424,0.9022,visible_trace_observed
CAN/USD,1975.35625,1.03381935,117,197.2954,0.00275902,0.947,visible_trace_observed
CAN/USD,1975.4375,1.03818728,118,195.9559,0.0024287,0.9992,visible_trace_observed
CAN/USD,1975.51875,1.03942413,119,195.5766,0.00210652,1.0,visible_trace_observed
CAN/USD,1975.6,1.03481196,120,196.991,0.00253141,0.8259,visible_trace_observed
CAN/USD,1975.68125,1.02993141,121,198.4877,0.00207196,1.0,visible_trace_observed
CAN/USD,1975.7625,1.02683489,122,199.4373,0.00219978,0.8465,visible_trace_observed
CAN/USD,1975.84375,1.02127152,123,201.1434,0.00274663,0.8044,visible_trace_observed
CAN/USD,1975.925,1.0117025,124,204.0779,0.00186424,0.9924,visible_trace_observed
CAN/USD,1976.00625,1.00390185,125,206.4701,0.00174457,0.9966,visible_trace_observed
CAN/USD,1976.0875,0.99547054,126,209.0557,0.00265076,0.7821,visible_trace_observed
CAN/USD,1976.16875,0.99054043,127,210.5676,0.00295304,0.9966,visible_trace_observed
CAN/USD,1976.25,0.98691402,128,211.6797,0.00222815,0.9992,visible_trace_observed
